[2026-03-19 09:11:01,327] INFO     [logger] --- Début du scan : Analyse WiFi ---
[2026-03-19 09:11:01,631] INFO     [logger] WiFi analysé : SSID=, Sécurité=
[2026-03-19 09:11:01,631] INFO     [logger] --- Fin du scan : Analyse WiFi (durée: 0.30s) ---
[2026-03-19 09:11:01,631] INFO     [logger] --- Début du scan : Découverte des hôtes ---
[2026-03-19 09:11:01,631] INFO     [logger] Cible spécifiée : 192.168.1.113
[2026-03-19 09:11:01,631] INFO     [logger] --- Fin du scan : Découverte des hôtes (durée: 0.30s) ---
[2026-03-19 09:11:01,631] INFO     [logger] --- Début du scan : Scan de ports ---
[2026-03-19 09:11:01,633] INFO     [logger] Scan de 37 ports sur 1 hôte(s)
[2026-03-19 09:11:01,633] INFO     [logger] Scan de 192.168.1.113 (37 ports)...
[2026-03-19 09:11:02,168] INFO     [logger] 192.168.1.113 — 2 port(s) ouvert(s) : 21, 53
[2026-03-19 09:11:02,168] INFO     [logger] --- Fin du scan : Scan de ports (durée: 0.84s) ---
[2026-03-19 09:11:02,169] INFO     [logger] --- Début du scan : Détection des services ---
[2026-03-19 09:11:02,169] INFO     [logger] Détection des services sur 192.168.1.113...
[2026-03-19 09:11:06,189] INFO     [logger] --- Fin du scan : Détection des services (durée: 4.86s) ---
[2026-03-19 09:11:06,189] INFO     [logger] --- Début du scan : Fingerprint OS ---
[2026-03-19 09:11:06,189] INFO     [logger] --- Fin du scan : Fingerprint OS (durée: 4.86s) ---
[2026-03-19 09:11:06,189] INFO     [logger] --- Début du scan : Détection de vulnérabilités ---
[2026-03-19 09:11:06,191] WARNING  [logger] [VULN:HAUTE] 192.168.1.113:21 — FTP (sans TLS)
[2026-03-19 09:11:06,191] INFO     [logger] 1 vulnérabilité(s) détectée(s) au total
[2026-03-19 09:11:09,202] INFO     [logger] Analyse DNS : 1 problème(s) détecté(s)
[2026-03-19 09:11:09,203] INFO     [logger] --- Fin du scan : Détection de vulnérabilités (durée: 7.88s) ---
[2026-03-19 09:11:09,213] INFO     [logger] [OK] Rapport généré : rapport_test.json
