[2026-03-19 08:58:37,114] INFO     [logger] --- Début du scan : Analyse WiFi ---
[2026-03-19 08:58:37,420] INFO     [logger] WiFi analysé : SSID=, Sécurité=
[2026-03-19 08:58:37,420] INFO     [logger] --- Fin du scan : Analyse WiFi (durée: 0.31s) ---
[2026-03-19 08:58:37,420] INFO     [logger] --- Début du scan : Découverte des hôtes ---
[2026-03-19 08:58:37,420] INFO     [logger] Cible spécifiée : 192.168.1.113
[2026-03-19 08:58:37,421] INFO     [logger] --- Fin du scan : Découverte des hôtes (durée: 0.31s) ---
[2026-03-19 08:58:37,421] INFO     [logger] --- Début du scan : Scan de ports ---
[2026-03-19 08:58:37,428] INFO     [logger] Scan de 37 ports sur 1 hôte(s)
[2026-03-19 08:58:37,428] INFO     [logger] Scan de 192.168.1.113 (37 ports)...
[2026-03-19 08:58:37,958] INFO     [logger] 192.168.1.113 — 2 port(s) ouvert(s) : 21, 53
[2026-03-19 08:58:37,965] INFO     [logger] --- Fin du scan : Scan de ports (durée: 0.85s) ---
[2026-03-19 08:58:37,966] INFO     [logger] --- Début du scan : Détection des services ---
[2026-03-19 08:58:37,966] INFO     [logger] Détection des services sur 192.168.1.113...
[2026-03-19 08:58:41,981] INFO     [logger] --- Fin du scan : Détection des services (durée: 4.87s) ---
[2026-03-19 08:58:41,981] INFO     [logger] --- Début du scan : Fingerprint OS ---
[2026-03-19 08:58:41,982] INFO     [logger] --- Fin du scan : Fingerprint OS (durée: 4.87s) ---
[2026-03-19 08:58:41,982] INFO     [logger] --- Début du scan : Détection de vulnérabilités ---
[2026-03-19 08:58:41,982] INFO     [logger] Détection de vulnérabilités — module non encore implémenté
[2026-03-19 08:58:41,983] INFO     [logger] --- Fin du scan : Détection de vulnérabilités (durée: 4.87s) ---
[2026-03-19 08:58:41,983] INFO     [logger] Génération du rapport — module non encore implémenté
